row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,171103_PMA_TK_M1_01.mzML Peak height,171103_PMA_TK_M1_02.mzML Peak height,171103_PMA_TK_M1_03.mzML Peak height,171103_PMA_TK_M1_04.mzML Peak height,171103_PMA_TK_M1_05.mzML Peak height,171103_PMA_TK_M1_06.mzML Peak height,171103_PMA_TK_PA14_01.mzML Peak height,171103_PMA_TK_PA14_02.mzML Peak height,171103_PMA_TK_PA14_03.mzML Peak height,171103_PMA_TK_PA14_04.mzML Peak height,171103_PMA_TK_PA14_05.mzML Peak height,171103_PMA_TK_PA14_06.mzML Peak height,171103_PMA_TK_QC_03.mzML Peak height,171103_PMA_TK_QC_04.mzML Peak height,171103_PMA_TK_QC_05.mzML Peak height,171103_PMA_TK_QC_06.mzML Peak height,171103_PMA_TK_QC_07.mzML Peak height,171103_PMA_TK_QC_08.mzML Peak height,171103_PMA_TK_media_02.mzML Peak height,171103_PMA_TK_media_03.mzML Peak height,171103_PMA_TK_media_04.mzML Peak height,171103_PMA_TK_media_05.mzML Peak height,171103_PMA_TK_media_06.mzML Peak height,
41,186.1235141348752,0.32730666,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2.3936056E7,1.6677253E7,0,0,0,0,2.3658982E8,1.792586E8,1.9020512E8,1.734041E8,1.3680754E8,
44,144.60505904938262,0.32818016,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6232716E7,6.188801E7,6.6231932E7,5.7088252E7,4.633457E7,
45,288.2025569356466,0.3311944,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4.677547E7,1.2917037E7,0,0,0,0,9.166977E8,9.9646906E8,1.0364196E9,8.666241E8,7.822617E8,
40,152.03164003144443,0.33444905,,,,,,,,,,,0,0,0,0,0,0,3.0291034E7,3.2231538E7,3.0104604E7,3.1819352E7,2.8428592E7,3.973975E7,1.2195904E7,1.2058365E7,1.1342356E7,1.3499806E7,1.1870627E7,0,6.0170064E7,5.599499E7,5.953595E7,3.8029548E7,3.8719464E7,
46,130.04988378364413,0.33677313,,,,,,,,,,,0,0,0,0,0,0,1.467931E8,1.5031714E8,1.2352369E8,1.1176165E8,1.3995872E8,1.8088053E8,6.381471E7,5.846847E7,6.0107772E7,6.983115E7,6.2767068E7,5.748282E7,2.1729485E8,2.0748341E8,2.299025E8,1.8301907E8,1.6728203E8,
48,133.03179150588656,0.34282458,,,,,,,,,,,2.3300762E7,2.1251898E7,1.902852E7,1.8162894E7,2.090396E7,2.291488E7,1.1727383E8,1.0668899E8,8.600401E7,8.2644584E7,9.961718E7,1.0176302E8,6.5857156E7,5.8602332E7,5.2331256E7,4.919858E7,4.5095252E7,5.0973228E7,1.2790926E8,1.3473262E8,1.3704963E8,1.2663221E8,1.1352835E8,
49,150.05832274098822,0.34282458,,,,,,,,,,,1.3806998E8,1.289574E8,1.1394986E8,1.0012073E8,1.2048767E8,1.4218582E8,7.0485856E8,6.7620576E8,5.3226675E8,4.876496E8,6.524028E8,6.337094E8,3.537068E8,3.2753267E8,3.1195206E8,3.0632778E8,2.8267107E8,3.1119862E8,8.127541E8,8.551807E8,9.1166874E8,7.936184E8,7.6761395E8,
51,310.17571690537864,0.3502007,,,,,,,,,,,0,0,0,0,0,8503168.0,8.492153E7,6.849556E7,5.2256664E7,4.8775496E7,6.0155892E7,6.0659424E7,2.9773938E7,2.23703E7,1.5066574E7,9145601.0,6825561.5,6748653.0,2.3121294E8,2.0724317E8,2.2786714E8,1.9555306E8,1.9679437E8,
53,251.1052199469842,0.3513805,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5090572E7,6.068587E7,4.4073556E7,3.5620696E7,3.1348744E7,
56,187.13141783288398,0.35546294,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.865202E7,6.2701212E7,5.4909864E7,5.6685616E7,5.5488976E7,
54,373.25573047837486,0.35789585,,,,,,,,,,,0,0,0,0,0,0,1.1560743E7,1.1570763E7,0,0,1.1334328E7,1.0614507E7,8490700.0,0,0,0,0,0,1.2383593E8,9.612209E7,1.1067969E8,8.226616E7,9.407028E7,
59,279.10075961130894,0.36178815,,,,,,,,,,,0,0,0,0,0,0,1.5886752E7,1.3875581E7,1.1355063E7,1.086439E7,1.22765E7,1.2808195E7,0,0,0,0,0,0,1.7145168E7,1.655822E7,1.839526E7,1.6766747E7,1.7996284E7,
57,217.11809788216485,0.3678464,,,,,,,,,,,0,0,0,0,0,0,3.1067654E7,1.886773E7,1.4253683E7,1.3901868E7,2.1496678E7,2.1376012E7,8751242.0,1.0438249E7,9231827.0,9119216.0,8924283.0,1.0020216E7,3.047115E7,2.7632354E7,3.3019974E7,2.3486898E7,1.7246258E7,
55,227.0999370161286,0.37154227,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,6453335.0,7853776.0,6776410.5,7950267.0,0,3.7225868E7,3.0525812E7,3.0821208E7,3.4359756E7,3.81268E7,
61,158.09236515823866,0.37472588,,,,,,,,,,,1.1751326E7,1.1526932E7,1.2704626E7,1.1801091E7,1.3229568E7,1.4789112E7,2.2713918E7,1.3092291E7,1.2279684E7,1.3270801E7,1.4942803E7,1.7150262E7,1.6439628E7,1.4641751E7,1.2038617E7,1.1565253E7,1.1402324E7,1.0486958E7,1.9629376E7,1.936747E7,1.9715846E7,1.4919681E7,1.2552727E7,
60,269.1605171328809,0.37876925,,,,,,,,,,,2.0233784E7,1.513933E7,1.6942126E7,1.3514356E7,2.0129888E7,2.4859762E7,2.490169E8,2.562698E8,2.040069E8,1.7705979E8,2.1441338E8,1.9718962E8,8.7551624E7,8.905967E7,8.483217E7,8.251721E7,8.4949176E7,7.243263E7,6.2016934E8,6.0186157E8,6.313189E8,5.572156E8,5.154504E8,
58,338.1818235963412,0.37970346,,,,,,,,,,,1.0203049E7,0,7599193.5,0,0,1.1189792E7,1.3051708E7,1.3512631E7,0,9464270.0,1.1210412E7,0,2.2449502E7,2.1872284E7,1.9761782E7,1.5909847E7,1.2825083E7,1.1159571E7,3.1325885E8,2.920459E8,3.1537245E8,2.6789032E8,2.5839026E8,
64,205.1180044580365,0.38814622,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1.6746496E7,1.6528356E7,1.7770768E7,1.8126426E7,1.7722694E7,1.599946E7,9.443559E7,9.0161464E7,1.00617096E8,1.1743384E8,1.1336233E8,
62,357.24914186932074,0.38971153,,,,,,,,,,,0,0,0,0,0,0,2.30191E7,2.6739222E7,1.811974E7,2.0666362E7,1.8859036E7,2.2538496E7,1.2062939E7,1.2408145E7,9898711.0,0,0,0,7.698252E7,7.433744E7,7.6984376E7,8.12679E7,6.5773096E7,
63,179.12832100308384,0.39193925,,,,,,,,,,,0,0,0,0,0,0,5.0140412E7,6.6217376E7,4.526486E7,4.5131404E7,4.770893E7,3.745568E7,2.5159554E7,2.308778E7,2.2099216E7,1.6781918E7,1.2730832E7,1.1229549E7,2.2936867E8,2.12898E8,2.3386773E8,2.2334688E8,2.0059979E8,
65,294.18088150491735,0.39421293,,,,,,,,,,,0,0,0,0,0,0,4.2581536E7,4.9644012E7,2.8707446E7,2.8070868E7,4.005795E7,3.1600424E7,2.1797698E7,1.8711724E7,1.4809301E7,9142188.0,0,0,1.6832589E8,1.923913E8,1.7726704E8,1.969333E8,1.4614707E8,
67,235.11874357255138,0.3958464,,,,,,,,,,,2.6363786E8,2.1078808E8,2.2975784E8,2.0899288E8,2.3799557E8,2.83597E8,2.2212688E8,2.3006211E8,1.9640272E8,1.9706563E8,1.944974E8,2.0245914E8,1.9752285E8,2.031107E8,2.061015E8,1.7771048E8,1.7425043E8,1.8252893E8,2.0648091E8,1.9975734E8,2.1523507E8,2.0085629E8,1.7972192E8,
66,347.2285613057342,0.3976735,,,,,,,,,,,0,0,0,0,0,0,2.5567374E7,2.8381856E7,1.899521E7,2.1079618E7,2.7189206E7,1.8881634E7,0,0,0,0,0,0,4.2151476E7,4.276351E7,4.746643E7,4.279579E7,4.433421E7,
71,183.08435052471708,0.40175626,,,,,,,,,,,0,0,0,0,0,9382209.0,8.43977E7,8.480089E7,7.260318E7,7.636626E7,8.270891E7,7.5851224E7,2.6214916E7,3.3502212E7,3.494761E7,3.053396E7,3.4401136E7,3.6133604E7,7.340275E7,7.618187E7,8.389153E7,7.597096E7,6.868906E7,
73,136.0755841738114,0.40274137,,,,,,,,,,,0,0,0,0,0,0,6.1621316E7,5.8947436E7,4.691858E7,5.2562316E7,5.590017E7,5.0392772E7,1.9934078E7,2.348294E7,2.5078204E7,2.2047818E7,2.5583028E7,2.5634192E7,5.1145012E7,5.3012012E7,6.0362184E7,5.288881E7,4.7564748E7,
75,182.08111821130126,0.40412655,,,,,,,,,,,7.77912E7,6.0753996E7,5.5977692E7,6.454375E7,5.8861456E7,8.590985E7,8.657004E8,8.5633856E8,6.8564064E8,7.755433E8,8.4428224E8,7.448369E8,2.5417382E8,3.0583882E8,3.3525654E8,3.034756E8,3.2380733E8,3.4672682E8,7.6474643E8,7.837886E8,8.376534E8,7.624642E8,7.018185E8,
76,204.06295471194153,0.4043769,,,,,,,,,,,0,0,6406818.5,0,0,8273311.0,3.532071E7,2.7214392E7,3.2135392E7,4.0576744E7,3.4704708E7,3.7551256E7,2.5318926E7,2.6270386E7,2.6168382E7,2.4055512E7,2.4237182E7,2.433671E7,1.5314731E7,1.7085924E7,1.8728408E7,1.7592176E7,1.1867866E7,
70,282.17840517860594,0.4046463,,,,,,,,,,,0,0,0,0,0,0,2.7790052E7,2.309198E7,2.021602E7,2.4876964E7,2.8340948E7,2.5002106E7,1.6675759E7,1.6446281E7,1.3408267E7,1.0552833E7,7420633.0,0,3.83941E7,3.9025068E7,4.1714316E7,3.55114E7,3.5220492E7,
74,165.05456262008005,0.40502,,,,,,,,,,,1.185601E7,8492583.0,9248302.0,8570704.0,8988835.0,1.3260156E7,1.3784024E8,1.3122751E8,1.0563976E8,1.179561E8,1.2974992E8,1.1196324E8,3.9749144E7,4.7026576E7,5.0300436E7,4.4765308E7,4.8151524E7,4.8740892E7,1.1218904E8,1.2208599E8,1.3044914E8,1.1464065E8,1.07749096E8,
68,261.20011541023456,0.4052716,,,,,,,,,,,0,0,0,0,0,0,9.690283E7,1.0705422E8,6.813081E7,7.824801E7,1.0059498E8,7.4361576E7,2.9869248E7,2.9312438E7,2.3885518E7,1.7088966E7,1.3047207E7,9621735.0,2.3805118E8,1.9277803E8,2.5198427E8,2.1561509E8,2.1904222E8,
50,189.12310126252842,0.41190875,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2.735107E7,2.875427E7,2.4789658E7,1.2160111E7,1.2162027E7,1.957972E7,1.3106269E8,1.6474011E8,1.619462E8,1.505014E8,1.312137E8,
78,219.13369766115804,0.41503283,,,,,,,,,,,0,0,0,0,0,0,3.679166E7,4.5776748E7,3.1874054E7,3.4382716E7,3.93516E7,3.472213E7,5.7780524E7,5.3302536E7,4.6273576E7,3.95074E7,4.3127188E7,3.47209E7,6.020882E8,5.934292E8,6.632588E8,6.778244E8,6.0537696E8,
80,366.2130561091483,0.41881567,,,,,,,,,,,0,0,0,0,0,0,4.697293E7,5.0015788E7,3.1951704E7,3.788363E7,4.7741868E7,4.2826052E7,1.8853988E7,1.903672E7,1.7080908E7,1.317927E7,1.3631771E7,1.0209846E7,1.0750112E8,1.0387419E8,1.1481255E8,1.0849167E8,1.0230806E8,
81,183.6102603812942,0.42001933,,,,,,,,,,,0,0,0,0,0,0,8.003413E7,8.6344456E7,5.5632788E7,6.324644E7,7.132014E7,6.3556604E7,2.2957194E7,2.4668654E7,2.2011718E7,1.7713022E7,2.1881856E7,1.6689683E7,1.4791893E8,1.521948E8,1.823452E8,1.595058E8,1.5444677E8,
94,247.12859291186516,0.42316854,,,,,,,,,,,9580024.0,7291220.5,8618350.0,6204796.0,0,1.154234E7,4.0357164E7,4.1626468E7,2.992702E7,3.1061398E7,4.0286056E7,3.2903624E7,1.3329336E7,1.4680006E7,1.5058197E7,1.3528599E7,1.416603E7,1.3680527E7,8.71158E7,7.266255E7,7.94461E7,8.016595E7,7.38851E7,
79,389.23881120247876,0.42430547,,,,,,,,,,,0,0,0,0,0,0,3.746177E7,3.9899436E7,2.7408296E7,2.6767528E7,3.947633E7,3.310331E7,8619071.0,7927881.0,9103825.0,0,0,0,5.2486116E7,5.6311196E7,6.3919212E7,5.7559172E7,4.920252E7,
95,311.12333914808937,0.42454007,,,,,,,,,,,1.3768353E7,1.0672545E7,1.135583E7,9498985.0,9970796.0,1.506118E7,4.9191284E7,3.349705E7,2.3235708E7,2.2341018E7,3.4255404E7,2.8025486E7,1.8278512E7,1.6657102E7,1.6682566E7,1.2690442E7,1.3069624E7,1.3353512E7,2.0158852E7,2.4010038E7,2.6950752E7,2.253455E7,1.9137102E7,
82,348.17625508031745,0.42574486,,,,,,,,,,,1.1216885E7,7272006.5,8957206.0,0,7071879.5,1.2696579E7,1.8153952E7,1.9097632E7,1.6294694E7,1.0047747E7,1.7582142E7,1.2584772E7,6908512.5,8315769.0,0,0,6829941.5,6813982.5,1.50321E7,1.3392271E7,1.4060256E7,1.2511407E7,1.3265024E7,
86,193.13137529379483,0.42760333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.706786E7,5.842951E7,6.582701E7,4.141728E7,5.4187516E7,
85,322.1869644953013,0.42760333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0472206E8,2.2753576E8,2.3144358E8,2.3562538E8,1.9603525E8,
88,331.2334441287924,0.42760333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9598644E7,4.4213504E7,4.078096E7,3.3603428E7,3.294988E7,
84,388.1508746591654,0.42899448,,,,,,,,,,,0,0,0,0,0,7669833.0,5.6847388E7,5.484758E7,3.9281724E7,5.6930564E7,5.7792852E7,5.3767908E7,1.7958018E7,1.7780952E7,1.8207082E7,1.6544225E7,1.6451311E7,1.1939722E7,5.7663224E7,5.668429E7,5.436082E7,5.3752424E7,6.621461E7,
